Words,Count
tape,237
gs,213
night,2335
deep,895
right,5749
babe,258
paper,780
mothafuckin,186
cake,308
safe,321
plate,202
yet,491
after,998
five,700
question,273
taking,470
pump,383
happen,327
key,260
many,1421
buy,770
crime,289
x,280
instead,292
fat,829
being,622
taste,363
sound,888
stick,591
code,198
there,2690
gun,1112
bow,209
fiend,223
seems,315
between,366
green,542
l,219
getting,1515
ran,426
pre-chorus,419
neck,578
tryna,1680
us,3609
crazy,1436
treat,398
number,646
rocks,372
youre,2228
few,430
sayin,479
yours,603
speed,262
comin,726
street,1096
fore,268
rock,1645
black,2755
toes,265
cocaine,329
killing,283
pick,665
which,383
went,1231
ready,1323
higher,434
room,727
please,1275
queen,242
mouth,782
paid,722
extra,248
crib,595
kid,1122
game,2251
reason,516
private,201
lose,718
why,4051
die,1778
somebody,835
born,599
grind,377
hustle,352
hair,483
toast,205
red,854
drive,532
tip,398
longer,229
going,1416
gas,357
rockin,214
refrain,398
lie,768
end,902
story,423
hide,363
shop,209
flow,1071
ask,1142
bone,1031
children,260
son,1034
squad,248
daddy,884
spot,635
foot,185
haha,300
plane,232
called,515
found,507
smoking,411
playing,421
wife,316
bridge,1054
blast,280
wrong,1118
dance,698
glass,264
games,214
morning,435
much,1898
chopper,246
use,607
words,596
kill,1517
ceiling,183
jack,325
fall,1006
trap,822
riding,333
talking,1016
though,1499
those,821
should,1456
tonight,736
tryin,472
fine,472
half,689
rob,191
boom,495
streets,1089
tear,246
b,635
chain,600
t,249
jay,242
war,746
wack,276
lick,469
bite,257
dress,192
wreck,184
bed,503
jesus,334
very,371
don,334
havin,266
twice,201
long,1913
wouldnt,465
twenty,274
under,635
beats,340
dough,469
team,518
doin,533
butt,254
seat,268
john,258
bounce,572
pole,181
blow,1111
soul,944
cold,947
friends,808
forgive,196
win,388
radio,263
sure,911
pot,247
jay-z,246
old,1363
blue,617
worth,389
rap,1780
sellin,241
rest,704
peace,862
d,604
quavo,383
smash,190
law,234
order,264
12,204
fame,453
plug,224
system,223
4,725
watching,276
bust,1026
tough,241
rappin,191
knock,568
house,1391
cost,306
party,1186
numbers,181
again,1764
speak,593
homie,753
fucking,1516
sitting,202
knees,290
purple,273
strong,596
looked,273
watchin,209
forget,558
takin,349
wanted,565
mac,410
cheese,303
click,192
clique,256
hatin,195
waitin,210
pulled,292
fucked,964
behind,632
sweat,251
sittin,215
